playerID,birthYear,nameFirst,nameLast
allenje01,1972,Jermaine,Allensworth
alleyge01,1940,Gene,Alley
alliega01,1931,Gair,Allie
alliebo01,1952,Bob,Allietta
allisan01,1848,Andy,Allison
allisar01,1849,Art,Allison
allisbi01,,Bill,Allison
allisbo01,1934,Bob,Allison
allisda01,1966,Dana,Allison
allisdo01,1846,Doug,Allison
allisma01,1887,Mack,Allison
allismi01,1890,Milo,Allison
allrebe01,1965,Beau,Allred
almadme01,1913,Mel,Almada
almanar01,1972,Armando,Almanza
almanca01,1973,Carlos,Almanzar
almeira01,1887,Rafael,Almeida
almonbi01,1952,Bill,Almon
almoner01,1978,Erick,Almonte
almonhe01,1975,Hector,Almonte
alomalu01,1923,Luis,Aloma
alomaro01,1968,Roberto,Alomar
alomasa02,1966,Sandy,Alomar
alomasa01,1943,Sandy,Alomar
aloufe01,1935,Felipe,Alou
alouje01,1942,Jesus,Alou
alouma01,1938,Matty,Alou
aloumo01,1966,Moises,Alou
alperwh01,1879,Whitey,Alperman
alstode01,1952,Dell,Alston
alstoga01,1971,Garvin,Alston
alstoto01,1926,Tom,Alston
alstowa01,1911,Walter,Alston
altampo01,1952,Porfi,Altamirano
altener01,1894,Ernie,Alten
altenje01,1893,Jesse,Altenburg
altizda01,1876,Dave,Altizer
altmage01,1933,George,Altman
altobjo01,1932,Joe,Altobelli
altroni01,1876,Nick,Altrock
alusige01,1935,George,Alusik
alvarlu01,1949,Luis,Alvarado
alvarcl01,1968,Clemente,Alvarez
alvarga01,1974,Gabe,Alvarez
alvarjo01,1956,Jose,Alvarez
alvarju01,1973,Juan,Alvarez
alvaror01,1952,Orlando,Alvarez
alvaros01,1933,Ossie,Alvarez
alvarro01,1938,Rogelio,Alvarez
alvarta01,1971,Tavo,Alvarez
alvarwi01,1970,Wilson,Alvarez
alvisma01,1938,Max,Alvis
alvorbi01,1863,Billy,Alvord
alyeabr01,1940,Brant,Alyea
amalfjo01,1934,Joey,Amalfitano
amarari01,1962,Rich,Amaral
amaroru01,1936,Ruben,Amaro
amaroru02,1965,Ruben,Amaro
amblewa01,1915,Wayne,Ambler
amelued01,1959,Ed,Amelung
amesre01,1882,Red,Ames
amoledo01,1878,Doc,Amole
amorvi01,1932,Vicente,Amor
amorosa01,1930,Sandy,Amoros
anckewa01,1893,Walter,Ancker
anderla02,1953,Larry,Andersen
anderal01,1914,Alf,Anderson
anderal02,1964,Allan,Anderson
anderan01,1922,Andy,Anderson
anderbi01,1895,Bill,Anderson
anderbo01,1935,Bob,Anderson
anderbr01,1964,Brady,Anderson
anderbr02,1972,Brian,Anderson
anderbu01,1956,Bud,Anderson
andercr01,1938,Craig,Anderson
anderda01,1868,Dave,Anderson
anderda02,1960,Dave,Anderson
anderdw01,1947,Dwain,Anderson
anderfe01,1918,Ferrell,Anderson
anderfr01,1885,Fred,Anderson
anderga01,1972,Garret,Anderson
anderge01,1889,George,Anderson
andergo01,1880,Goat,Anderson
anderha01,1904,Hal,Anderson
anderha02,1931,Harry,Anderson
anderji01,1957,Jim,Anderson
anderji02,1976,Jimmy,Anderson
anderjo01,1873,John,Anderson
anderjo02,1932,John,Anderson
anderke01,1963,Kent,Anderson
anderla01,1952,Larry,Anderson
anderma02,1974,Marlon,Anderson
anderma01,1976,Matt,Anderson
andermi01,1951,Mike,Anderson
andermi02,1966,Mike,Anderson
anderre01,1912,Red,Anderson
anderri01,1953,Rick,Anderson
anderri02,1956,Rick,Anderson
andersc01,1962,Scott,Anderson
andersp01,1934,Sparky,Anderson
anderva01,1866,Varney,Anderson
anderwa01,1897,Walter,Anderson
anderwi01,1886,Wingo,Anderson
andrejo01,1923,John,Andre
andreer01,1918,Ernie,Andres
andreki01,1953,Kim,Andrew
andrecl01,1978,Clayton,Andrews
andreed01,1859,Ed,Andrews
andreel01,1901,Elbert,Andrews
andrefr01,1952,Fred,Andrews
andrehu01,1922,Hub,Andrews
andreiv01,1907,Ivy,Andrews
andreji01,1865,Jim,Andrews
andrejo02,1949,John,Andrews
andremi01,1943,Mike,Andrews
andrena01,1913,Nate,Andrews
andrero01,1952,Rob,Andrews
andresh01,1971,Shane,Andrews
andrest01,1917,Stan,Andrews
andrewa01,1859,Wally,Andrews
andrubi01,1907,Bill,Andrus
andrufr01,1850,Fred,Andrus
andruwi01,1858,Wiman,Andrus
andujjo01,1952,Joaquin,Andujar
andujlu01,1972,Luis,Andujar
angelno01,1947,Norm,Angelini
angleto01,1904,Tom,Angley
ankenpa01,1912,Pat,Ankenman
ankieri01,1979,Rick,Ankiel
annisbi01,1857,Bill,Annis
ansonca01,1852,Cap,Anson
anthoer01,1967,Eric,Anthony
antoljo01,1916,Joe,Antolick
